Job Title,Company Name,Location,Skills,Link,Date
Senior Full Stack Python Engineer,Amwal Tech -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Python · MySQL · jQuery · JavaScript · React · HTML5 · Software Development · Computer Engineering,/jobs/p/Sz7aIfCDRTJ1-Senior-Full-Stack-Python-Engineer-Amwal-Tech-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb,1 day ago
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,/jobs/p/eALeQDui1EFp-Python-Developer-OdooTec-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb,3 days ago
Python - Odoo Developer,Be In Track -,"Ain Shams, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Customer Service/Support · Agile · Computer Science · Git · Information Technology (IT) · JavaScript · Odoo · Programming · Python · Software,/jobs/p/OJFF30qtFBvM-Python---Odoo-Developer-Be-In-Track-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb,5 days ago
Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",Full TimeFreelance / ProjectExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science,/jobs/p/nmicCQZOcUlE-Python-Developer-FinTech-Bright-Creations-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb,8 days ago
"Senior Python,Django Back-End Developer",Your Parts -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · back-end · Back-End Developer · Computer Science · developer · Django · Python · Software Development · Software Engineering,/jobs/p/TX1vFJhjI84v-Senior-PythonDjango-Back-End-Developer-Your-Parts-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb,11 days ago
Senior Python Developer (Relocation),Musala Soft -,"Sofia, Bulgaria ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · backend · Computer Science · Development · English · Information Technology (IT) · OOP · Software Development · Software · Kubernetes,/jobs/p/njyfOAPiZK5v-Senior-Python-Developer-Relocation-Musala-Soft-Sofia-Bulgaria?o=6&l=sp&t=sj&a=python|search-v3|hpb,9 days ago
Regular Python Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Python · c++ · Software Development,/jobs/p/PIDU3P1mRuKG-Regular-Python-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb,16 days ago
Senior Software Engineer - Python,ITWORX -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Python · React · Django · Information Technology (IT) · Software Engineering · AWS,/jobs/p/7lioBbpNN2sp-Senior-Software-Engineer---Python-ITWORX-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb,14 days ago
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · APIs · CSS · Design · Development · Front end · HTML,/jobs/p/JbQeLPSkcsfX-Senior-Full-Stack-React-Python-Django-Developer---Remote-GetTechForce-com-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb,23 days ago
Python Developer,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Flask · Python · Software Development · Computer Science · Information Technology (IT) · Frameworks · Kubernetes,/jobs/p/MEdF7MFl6qZV-Python-Developer-GetTechForce-com-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb,23 days ago
Senior Full Stack Python Developer,Luftborn -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Python · Computer Science · Software · Software Development · python development · HTML · CSS · JavaScript · SQL,/jobs/p/h59y1PZGoW5l-Senior-Full-Stack-Python-Developer-Luftborn-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb,24 days ago
Senior Java/ Scala Backend Developer with Python experience- Remote,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AngularJS · Computer Science · Design · Development · HTML5 · Information Technology (IT) · JPA · REST,/jobs/p/jOSpVK9DRTCc-Senior-Java-Scala-Backend-Developer-with-Python-experience--Remote-GetTechForce-com-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Senior Python Developer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Information Technology (IT) · Linux · Python,/jobs/p/WBHqaf7WeZYe-Senior-Python-Developer-Trufla-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Python Developer,Synergy Markets -,"New Cairo, Cairo, Egypt ",Freelance / ProjectManager · 4 - 7 Yrs of Exp · IT/Software Development · back-end · front-end · Python,/jobs/p/Coiipd7kP6Za-Python-Developer-Synergy-Markets-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Software Engineer (Python),Tam Development LLC -,"Riyadh, Saudi Arabia ",Full TimePart TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · engineer · Information Technology (IT) · Software Development · Software Engineering · Software engineer · Software · Python,/jobs/p/rdnYmzyFCkGJ-Software-Engineer-Python-Tam-Development-LLC-Riyadh-Saudi-Arabia?o=15&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Python and Javascript Machine Learning Engineer (NLP - Natural Language Processing),GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Flask · Python · Software Development · Computer Science · Information Technology (IT) · Frameworks · Kubernetes,/jobs/p/DgaOYxVHPUE7-Python-and-Javascript-Machine-Learning-Engineer-NLP---Natural-Language-Processing-GetTechForce-com-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb,1 day ago
Python Backend Web Developer (Django Rest Framework),Trendster -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · APIs · AWS · Computer Science · Django · Information Technology (IT) · Python · REST · PostgreSQL · Software Development,/jobs/p/23hPZa3mBQYM-Python-Backend-Web-Developer-Django-Rest-Framework-Trendster-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|hpb,1 day ago
Senior Odoo Developer,E-Jawdah -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Development · Computer Science · Information Technology (IT),/jobs/p/YnjE54GZk95R-Senior-Odoo-Developer-E-Jawdah-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb,4 days ago
Odoo Developer,Al-hakeema -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_preferred · IT/Software Development · Implementation · ERP · Engineering · Computer Science · Sales · Odoo ERP · Odoo · MVC · Information Technology (IT),/jobs/p/dwYaww9FHg3a-Odoo-Developer-Al-hakeema-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb,2 days ago
Data Scientist,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Programming · Python · Algorithms · SQL,/jobs/p/VssduzQBDTOi-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=20&l=sp&t=sj&a=python|search-v3|hpb,2 days ago
Odoo Senior Developer,IT Systems Corporation -,"6th of October, Giza, Egypt ",Full TimePart TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python · ODOO · Development · Django · E-commerce · Postgres,/jobs/p/j0UTG7vqx2k8-Odoo-Senior-Developer-IT-Systems-Corporation-Giza-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb,4 days ago
Senior Computer Vision Engineer,TensorGraph -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Python · R · PyTorch · TensorFlow · Scikit-learn · Troubleshooting,/jobs/p/6Y0UFr28bvE8-Senior-Computer-Vision-Engineer-TensorGraph-Cairo-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb,4 days ago
